Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
1.229693,2.698888,9.72363,0.559261,-0.9601,-0.103176,16.100574,-32.152283,-33.804287,-87.968027,-21.834471,10.506379,Walking
0.393083,1.82261,10.601404,0.261506,-1.518713,-0.755855,14.173382,-32.538319,-34.434101,-85.654733,-22.299156,7.025769,Walking
0.165556,1.71184,10.223141,-0.449737,-0.831036,-1.708894,15.119671,-30.564014,-35.984112,-80.493293,-20.707061,6.217599,Walking
0.209714,1.868864,8.62237,0.178914,-0.602822,-1.520493,16.458759,-29.779381,-36.35075,-75.627193,-20.423837,6.103005,Walking
0.779579,1.484313,9.543255,0.188326,-0.798309,-1.841518,17.776455,-28.85783,-36.777538,-69.880713,-20.492917,6.033609,Walking
0.772543,0.948877,10.204879,-0.029971,-1.122135,-2.244091,18.833366,-27.215439,-37.959171,-63.033455,-19.944494,5.123912,Walking
0.537532,1.080453,9.762848,0.327127,-0.747224,-2.383576,20.26445,-25.568352,-38.489323,-55.579352,-20.096472,5.247568,Walking
0.802332,0.412542,11.961476,0.179166,-1.222627,-2.767828,21.437202,-23.262318,-39.373035,-47.100574,-19.961465,4.796882,Walking
0.539179,0.175735,11.173664,-0.055018,-1.444597,-3.151136,21.740902,-19.682896,-40.843555,-37.51597,-19.187341,3.775625,Walking
-0.044458,0.357906,10.584789,0.065281,-0.568713,-3.083596,22.987534,-16.450615,-41.813343,-27.983924,-18.634691,4.935045,Walking
-1.001268,0.239053,11.232791,-0.227036,-1.034687,-3.322295,23.401978,-12.537644,-42.812626,-18.096429,-17.250422,5.204869,Walking
-0.542771,1.319955,9.946217,-0.149003,-0.548211,-2.69569,23.225464,-8.043611,-43.667652,-9.657586,-15.97284,5.700877,Walking
-0.701741,1.667981,9.542955,0.447408,-0.823754,-2.391177,22.442371,-6.349122,-44.401287,-2.276095,-16.37052,5.564569,Walking
-0.688568,1.75061,10.094558,0.170532,-0.729549,-2.421985,21.340981,-4.100155,-45.094906,5.09986,-16.284193,5.460685,Walking
-0.79335,2.312242,9.073831,0.232576,-0.482386,-2.256072,20.382336,-2.055355,-45.304958,12.026526,-16.233213,5.897267,Walking
-1.335972,2.772235,8.662187,0.272972,-0.165819,-2.200423,20.222141,-0.594495,-45.075436,18.715005,-16.251083,7.173232,Walking
-1.429228,3.277285,9.132958,0.199097,-0.223113,-2.009535,19.752544,0.969548,-45.173649,24.891008,-16.063564,8.271355,Walking
-1.934577,3.665278,8.787327,0.273799,-0.01684,-1.764216,19.537251,2.272396,-45.044598,30.324484,-16.027044,9.612304,Walking
-1.878743,4.03965,9.336984,0.293827,-0.013081,-1.408807,19.382446,3.216642,-44.715771,34.776375,-16.083655,10.854509,Walking
-2.801574,3.704946,10.086774,0.154926,-0.084848,-1.242059,19.153782,4.11219,-44.820248,38.503983,-15.83121,11.64662,Walking
-2.757865,4.050427,10.180779,0.301211,-0.197908,-0.746705,18.704643,4.31015,-44.645473,40.996887,-16.089003,11.77226,Walking
-3.07775,2.974914,11.725716,0.050145,-0.732185,-0.373628,17.448605,4.402497,-45.00964,42.180059,-16.149819,10.249167,Walking
-3.086432,2.354903,11.449241,-0.128827,-1.081623,-0.256355,15.542587,4.88191,-45.872089,42.913749,-15.706783,7.689505,Walking
-3.572471,2.662214,8.677305,0.151241,-0.335108,-0.010908,14.67849,4.771414,-45.994579,42.894888,-15.99204,6.349076,Walking
-2.82298,2.416425,9.244626,0.178122,-0.590557,0.197513,13.742996,4.314948,-46.559452,42.286337,-16.495866,4.693716,Walking
-2.411186,2.388882,9.31483,-0.181753,-0.66654,0.134432,12.280209,4.674281,-47.048916,41.702634,-16.085453,2.608006,Walking
-1.658401,2.920128,8.215366,0.031666,-0.032707,0.237344,12.044868,4.431331,-47.001163,40.852184,-16.11327,2.100536,Walking
-1.701661,3.098107,7.244485,0.055958,0.066879,0.190606,12.164288,4.233643,-47.029766,40.077033,-16.266941,2.129506,Walking
-1.505719,3.379223,8.329878,-0.013865,0.135066,0.126598,12.688389,4.038507,-47.014881,39.501245,-16.289378,2.409911,Walking
-1.146167,3.364853,9.383687,-0.143665,-0.018973,0.119864,12.912369,4.087387,-47.007824,38.877486,-15.87465,2.312803,Walking
-1.336421,3.258424,9.591754,-0.222393,0.163994,0.057655,13.296589,4.308812,-46.56609,38.471316,-15.289854,2.663727,Walking
-1.238824,3.336861,9.596394,-0.030253,0.288286,0.126409,13.945496,4.331189,-46.64835,37.947605,-15.131798,3.394985,Walking
-0.87523,3.019371,10.854827,-0.149459,0.042235,0.126711,14.213722,4.480509,-46.324184,37.321789,-14.792739,3.554864,Walking
-0.964444,2.989284,10.768607,-0.138554,0.233079,0.176345,14.5075,4.751977,-46.138134,36.638485,-14.400427,4.04819,Walking
-1.64942,1.697171,14.223572,-0.567634,0.308431,-0.325257,15.245613,5.835914,-45.68121,37.073885,-12.8589,5.076509,Walking
-0.830024,0.9137,12.730876,-0.802063,-0.532994,-0.469862,14.252491,8.234892,-45.64748,38.154308,-10.524692,4.165983,Walking
-0.116308,1.647324,8.787177,0.86339,0.831231,0.10816,15.193329,7.519392,-45.489262,38.017331,-12.359048,5.770034,Walking
0.429158,1.614243,9.491013,0.527563,0.106631,-0.077786,15.914303,6.117877,-45.42271,38.3012,-14.019828,6.712728,Walking
-0.594264,1.897604,8.592432,0.273704,-0.029697,-0.391769,15.810589,5.652337,-45.610371,39.35766,-14.740397,6.867128,Walking
-0.696502,2.516567,7.742649,0.198376,0.316078,-0.397501,16.388935,5.566078,-45.646442,40.548127,-15.189841,8.019192,Walking
-0.826282,2.962939,7.194489,0.383747,-0.037395,-0.173579,16.512821,4.931149,-45.446941,41.17965,-16.083842,8.200877,Walking
-1.224304,3.294798,7.706424,0.175857,-0.052016,-0.19382,16.250095,5.006455,-45.622662,41.785908,-16.553234,8.245135,Walking
-1.440155,3.312462,8.92998,-0.089638,-0.065819,-0.101213,16.288868,5.398713,-45.799793,42.03671,-16.340545,8.253252,Walking
